"Country or Area","Year","Value","Value Footnotes"
"United States","1991","14486.2001953125","7"
"United States","1990","14791.400390625","4"
"United States","1989","14651","4"
"United States","1988","13875.599609375","4"
"United States","1987","12023.2001953125","4"
"United States","1986","10619","4"
"United States","1985","9672.2001953125","4"
"United States","1984","10293.099609375","4"
"United States","1983","9284.5","4"
"United States","1982","8295.7998046875","4"
"United States","1981","8606.900390625","4"
"United States","1980","8615.400390625","4"
"United States","1979","8658.099609375","4"
"United States","1978","8406.7998046875","4"
"United States","1977","7920.6000976563","4"
"United States","1976","7438.2001953125","4"
"United States","1975","6999.6000976563","4"
"United States","1974","7255.3999023438","4"
"United States","1973","7060.1000976563","4"
"United States","1972","6283","4"
"United States","1971","5540.7998046875","4"
"United States","1970","5151.2001953125","4"

"footnoteSeqID","Footnote"
"2","Despite the exceptional circumstances faced by the aviation industry and ICAO during the data collection and collation period, data officially provided by ICAO Member States reflects 97% of the data reported here, with the remainder calculated according to ICAOâ€™s methodology."
"3","For statistical purposes,  the data for China exclude the traffic for the Hong Kong and Macao Special Administrative Regions (Hong Kong SAR and Macao SAR)."
"4","Covers air carriers designated by the U.S Department of Transportation as major and national air carriers."
"5","
Covers air carriers designated by the U.S Department of Transportation as major and national air carriers."
"6","Covers air carriers designated by the U.S Department of Transportation as major and national air carriers"
"7","Covers air carriers designated by the U.S Department of Transportation as major and national air carriers
Covers air carriers designated by the U.S Department of Transportation as major and national air carriers."
